"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
99,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:15:44.3+00","2022-11-11 00:21:46.358+00",29,-66.0,19
100,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:24:46.979+00","2022-11-11 00:24:47.021+00",0,-21.0,19
101,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:24:46.994+00","2022-11-11 00:24:47.035+00",55,-66.0,19
102,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:25:01.323+00","2022-11-11 00:25:01.456+00",8,-38.0,19
103,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:25:01.337+00","2022-11-11 00:25:08.324+00",22,-64.0,19
104,"a90d7e53-db59-49be-9ccd-5709053f3202","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:25:23.472+00","2022-11-11 00:25:37.79+00",25,-61.0,19
105,"a90d7e53-db59-49be-9ccd-5709053f3202","207ff938-b66d-4137-8343-7088616af16f","2022-11-11 00:25:23.489+00","2022-11-11 00:25:37.795+00",25,-61.0,19
106,"207ff938-b66d-4137-8343-7088616af16f","a90d7e53-db59-49be-9ccd-5709053f3202","2022-11-11 00:13:37.381+00","2022-11-11 00:13:51.122+00",0,-27.0,62
107,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-11 00:13:50.987+00","2022-11-11 00:13:51.079+00",74,-72.0,62
108,"207ff938-b66d-4137-8343-7088616af16f","5bfa6f7f-4264-48cb-a1fd-f2cab29af86f","2022-11-11 00:13:51.026+00","2022-11-11 00:13:51.1+00",238,-86.0,62
